,id,label,text
0,637641175948763136,1,lost sony cell phone holiday photos early fri morning montreal transit plaza 13 bus airport reward plz
1,637651487762554881,1,well yeah that's third parties sony putting actual games got 1 2 yrs 3 rd party support left
2,637666734300905472,0,sony rewards app like lot 19 female singers non retro sale 2 nd one info
3,637668142110654468,1,android tab use phone much fact little may go sony route :-)
4,637708370129125377,2,finally get ps4 back sent sony cause hdmi mess play mg's tuesday yeaaaaa buddy
5,637807521500020737,0,u guys help im calling sony tomorrow want help support team 3 hours tweeting nothing
6,637857585652076544,1,sony's 1 st teaser package launch original playstation seems feature dominatrix https://t.co/xbiscrkpl4
7,637859860017647616,1,ind vs sl 3 rd test day 3 cricket live score sony six live streaming info watch live teleca http://t.co/mulhw4cn00
8,637923877423742977,1,lol sony sony sony sony gave bj's u 1 st
9,638045103861465088,1,official reason game region store sony wont til tuesday
10,638141885022736385,2,thing crazier last-gen 6 th-gen 4 way console race sega nintendo microsoft amp sony never see
11,638159273072062464,2,remember sony trying make bible study mandatory sunday nights http://t.co/cfljdmvmv3
12,638172841284866053,1,know coming coon get taken long sony release remote ps4 3 rd party ones bad
13,638175116145377280,2,everyone playing 3.0 i'm sitting playing 2.0 sony making wait tomorrow
14,638198267013169153,2,albert shum 3 rd sony design competition early 90 design phone push http://t.co/gakp1hayyx
15,638218790539407360,1,least sony probably selling cheap come black friday
16,638270737502105600,1,might keep sony monthly subs going beyond tomorrow
17,638393198201696256,2,nope tomorrow wait tomorrow's also sony breaks next bundle ps freebies oh lovely day
18,638394988892520448,1,"uncharted 4 thief's end launches ps4 north america march 18, 2016, sony announced today latest game naughty"
19,638399901349621760,0,interesting see sony addresses heat issues z5 may found work around
20,638453810093006848,2,official coming back sony family destiny hand sept 15 th
21,638481185275052032,1,hi adam may need contact playstation support sony details regarding aspect purchase
22,638575315770478593,2,oh gosh actual acknowledgement sony vita exists https://t.co/3qefwcbru0
23,638626774503415808,2,mashable sony's electronics division may slump plan fading quietly night spur innovation
24,638640306905190400,1,sony's new smartwatch packs tech wristband sony's electronics division may slump http://t.co/movzepizww
25,638775649193361409,0,webb ones made less money 3 rd raimi one plus success marvel sony scared think
26,638783969568366593,0,comes sony letdown one color clap low slow https://t.co/6jarcgfvtp
27,638797155428339712,1,disc tray reader that's know warranty would 140 get fixed sony may
28,638813699927621632,2,personally i'm looking forward sony's presser tomorrow new xperia :p
29,638822443352612864,2,deal alert here's 3 rd-party battery w great reviews compatible sony cinealta amp blackmagic ursa cams http://t.co/amwkajuqcl
30,638823054353694720,1,aqua blue ps vita debuts november sony introducing aqua blue playstation vita begin selling http://t.co/g1uvic1q4u
31,638890534073954304,1,sony may release first smartphone 4 k screen star online http://t.co/cedcugeuws
32,638901502791184384,1,know anyone la red sony c300 sony fs7 could rent borrow tomorrow night 9 2 hours
33,639074935240065024,1,information ask contact sony directly apologies inconvenience may cause ai
34,639087527165497344,1,rich guys can't make rich guys look bad 1 st law rich guys something end even sony http://t.co/ynvagavh1a
35,639093319516205057,2,sony may made new phone that's brilliant line nails practically everything let's see reviews say
36,639093919024742400,0,exactly i'll never buy sony 1 st class ass kissers dick pulling media high scores future games lol
37,639121090652930048,1,sony may cut scenes film avoid angering nfl http://t.co/nsucckkwhk http://t.co/dmqtrdbsbx
38,639162337513988097,2,make amazing 3 rd party support handful good 1 st party sony games
39,639191969349148672,2,new phone saturday torn sony z3 samsung a5 one would recommend
40,639234985568960512,1,see sony pulling shit like https://t.co/n2tmmkngg6
41,639284990036078592,1,sony went new high-tech smartphone may question anyone needs phone https://t.co/rlmlr07ysu
42,639331098372124672,1,gonna hold meetup september 6 th sony japanese giants http://t.co/uo9i7z3llw
43,639607684833128449,1,sony's pulling beginning pre-production goosebumps sequel even though 1 st one come yet
44,639703605705113600,1,friday let's see jl sony resolve issue gut feeling go silent
45,639708225927929856,1,sony xperia z5 xperia z5 compact price xperia z5 premium detailed following launch announcement wednesday sony reveale
46,639713042201190400,1,may planned obsolescence means buy stuff companies like sony
47,639768346708185089,1,xperia z5 pre-orders available carphone warehouse sony may announced ne http://t.co/ohglq1lhkx
48,639820972766445568,1,international fair electronic consumers berlin ger 4 9 sep samsung sony sharp epson toshiba http://t.co/tahrmg87w5
49,639867771812188160,0,sony care exclusives never made theme console exclusives https://t.co/ft9vpaxsjs
50,639894389716856832,1,everybody chill sony may separate global flagship phone works unfortunately http://t.co/tfln1gfffx
51,639899871550537728,2,marvel charge way sony get involved mess 3 rd time plus good director writers
52,639948495990976513,1,sony gobbling 3 rd party exclusives says company tried steal away tomb raider deadrising rareware several indies
53,639967215069040642,1,new york times reported tuesday sony executives seemingly softened concussion placate nfl
54,640137904149393408,1,evidence says north korea hacked sony propaganda machine us govt https://t.co/rrpla3hbw0
55,640156377244127232,1,"dunno tinder style sony thing called u sat top http://t.co/2ehwnmqf7l, think looks dead though"
56,640170970603474944,2,sony announced new 500 gb playstation 4 bundle uncharted 4 stored october 9 400 us 450 canada
57,640209445763567616,2,huge play get shadow goal line 2 nd lambert sony 48 yard gain accurate pass
58,640213874793410560,2,always loved sony watching kid since 8 th grade
59,640254617750671364,1,could hit 3 rd console war wrote characters went sony's side
60,640271739486883842,2,sun daily lenovo sony marshall london on-trend smartphones smartphone trends come go http://t.co/pyomwtucgj
61,640290626756476928,2,one voted 5 th popular song time poll conducted sony
62,640305092827070464,2,that's think may weird last minute deal sony mirrors edge solid 12 tv's
63,640337021215604740,1,im going sony store tomorrow may go debt need get things really tooooo late
64,640343783956213760,1,major problems sony probably upload tonight promise 2 tomorrow though lt 3 =)
